year,country,co2,yr_avg_temp_f,yr_avg_temp_c,yr_avg_temp_uncertainty
1830,BELGIUM,1691,47.55065000000001,8.639249999999999,2.4764166666666667
1830,CANADA,1,23.236100000000004,-4.868833333333334,2.9296666666666678
1830,FRANCE,1788,54.17660000000001,12.320333333333336,2.5483333333333333
1830,GERMANY,1308,45.12125,7.289583333333334,2.3201666666666667
1830,HUNGARY,31,48.7433,9.301833333333336,2.36425
1830,NORWAY,2,31.8644,-0.07533333333333317,2.6679166666666667
1830,POLAND,270,44.37695,6.876083333333333,2.3694166666666665
1830,SPAIN,1,56.2646,13.480333333333332,2.767583333333334
1830,UNITED KINGDOM,18522,46.392950000000006,7.996083333333334,2.3826666666666667
1830,UNITED STATES,570,48.58715,9.215083333333334,2.404583333333333
1831,AUSTRIA,131,43.27385,6.263249999999998,3.2246666666666663
1831,BELGIUM,1218,50.11205,10.06225,3.258833333333333
1831,CANADA,1,21.605,-5.775000000000001,3.3245
1831,FRANCE,1652,55.0769,12.8205,3.1778333333333326
1831,GERMANY,1253,47.2289,8.4605,3.265
1831,HUNGARY,19,49.1363,9.520166666666666,3.3010000000000006
1831,NORWAY,1,32.3021,0.16783333333333314,3.325333333333333
1831,POLAND,221,45.15695,7.309416666666665,3.2863333333333333
1831,SPAIN,1,56.81345,13.78525,3.3489166666666668
1831,UNITED KINGDOM,17949,48.013999999999996,8.896666666666668,3.1292500000000003
1831,UNITED STATES,618,45.89735,7.7207500000000024,2.81225
1832,AUSTRIA,140,42.32,5.7333333333333325,2.7274166666666666
1832,BELGIUM,1287,48.00125000000001,8.889583333333333,2.7156666666666665
1832,CANADA,1,21.329900000000006,-5.927833333333332,2.906
1832,FRANCE,1823,54.3629,12.423833333333334,2.72
1832,GERMANY,941,45.80945,7.671916666666665,2.7635
1832,HUNGARY,24,47.84795,8.804416666666663,2.759916666666667
1832,POLAND,282,43.44155000000001,6.356416666666667,2.676333333333333
1832,SPAIN,1,55.9493,13.305166666666665,2.633666666666666
1832,UNITED KINGDOM,17901,47.201,8.445,2.629583333333333
1832,UNITED STATES,825,46.84535,8.247416666666668,2.2
1833,AUSTRIA,117,42.9098,6.061000000000001,2.121166666666667
1833,BELGIUM,1246,48.8504,9.361333333333334,2.1265833333333326
1833,CANADA,1,22.553,-5.248333333333332,2.48925
1833,FRANCE,1978,54.72470000000001,12.624833333333335,2.1838333333333337
1833,GERMANY,1195,46.60010000000001,8.111166666666668,2.091416666666667
1833,HUNGARY,18,49.3688,9.649333333333336,2.176166666666666
1833,POLAND,293,45.5804,7.544666666666665,2.13025
1833,SPAIN,1,55.8365,13.2425,2.052666666666666
1833,UNITED KINGDOM,17875,47.06375,8.368749999999999,2.1069999999999998
1833,UNITED STATES,963,47.86145,8.811916666666667,1.758916666666667
1834,AUSTRIA,160,45.37414999999999,7.430083333333332,2.2062500000000003
1834,BELGIUM,1203,51.40775,10.782083333333333,2.3819999999999997
1834,CANADA,1,22.08665,-5.507416666666668,2.553
1834,FRANCE,2435,56.38835,13.549083333333336,2.3111666666666664
1834,GERMANY,1204,49.11995,9.511083333333334,2.2238333333333338
1834,HUNGARY,19,51.52655000000001,10.848083333333335,2.32475
1834,POLAND,308,47.70665,8.725916666666668,2.240083333333333
1834,SPAIN,1,57.5669,14.203833333333336,2.2455000000000003
1834,SWEDEN,9,37.121,2.845,2.237083333333333
1834,UNITED KINGDOM,17887,48.8732,9.374,2.3356666666666666
1834,UNITED STATES,923,47.89325,8.829583333333334,1.9560833333333336
1835,AUSTRIA,173,42.24455,5.691416666666666,1.7505833333333332
1835,BELGIUM,1299,48.85310000000001,9.362833333333333,1.84875
1835,CANADA,1,20.438,-6.423333333333333,2.48
1835,FRANCE,2527,54.07505000000001,12.263916666666667,1.9535
1835,GERMANY,1346,46.325750000000006,7.958750000000001,1.7799166666666666
1835,HUNGARY,14,48.47899999999999,9.155,1.878583333333334
1835,NORWAY,4,31.12145,-0.4880833333333336,2.1115833333333334
1835,POLAND,330,44.83894999999999,7.132749999999999,1.7923333333333331
1835,SPAIN,1,55.58480000000001,13.102666666666664,1.7695
1835,UNITED KINGDOM,17812,47.08474999999999,8.380416666666667,1.8821666666666663
1835,UNITED STATES,1178,45.57065,7.53925,1.8380833333333333
1836,AUSTRIA,184,43.1465,6.192499999999999,1.9790833333333333
1836,BELGIUM,1528,49.03865,9.465916666666667,2.1095
1836,CANADA,1,21.07745,-6.068083333333332,2.5355000000000003
1836,FRANCE,2903,54.3629,12.423833333333334,2.2215
1836,GERMANY,1417,46.55015,8.083416666666666,1.981083333333333
1836,HUNGARY,23,49.77785,9.876583333333334,2.151666666666667
1836,NORWAY,5,30.01565,-1.1024166666666662,2.30625
1836,POLAND,374,45.6395,7.5775,2.0498333333333334
1836,SPAIN,6,55.83665,13.24258333333333,2.1709166666666664
1836,UNITED KINGDOM,20864,46.14439999999999,7.858,2.0934166666666667
1836,UNITED STATES,1291,45.61505,7.5639166666666675,1.9199166666666665
1837,AUSTRIA,193,41.3738,5.207666666666666,2.0105833333333334
1837,BELGIUM,1637,47.8247,8.7915,2.1655833333333336
1837,CANADA,1,21.15005,-6.02775,2.504916666666666
1837,FRANCE,3098,53.75029999999999,12.0835,2.21525
1837,GERMANY,1624,45.14509999999999,7.302833333333335,2.0405
1837,HUNGARY,19,47.43995,8.57775,2.1183333333333336
1837,NORWAY,7,30.95045,-0.5830833333333336,2.3169999999999997
1837,POLAND,402,43.84354999999999,6.57975,2.075833333333333
1837,SPAIN,10,55.80020000000001,13.222333333333333,2.12825
1837,UNITED KINGDOM,20134,46.15579999999999,7.864333333333333,2.0905
1837,UNITED STATES,1448,46.37194999999999,7.984416666666667,1.9185
1838,AUSTRIA,232,40.48805,4.715583333333333,2.3275833333333336
1838,BELGIUM,1671,46.61300000000001,8.118333333333334,2.4295
1838,CANADA,1,20.78195,-6.2322500000000005,2.416916666666667
1838,FRANCE,3239,53.47129999999999,11.9285,2.4516666666666667
1838,GERMANY,1810,43.61135,6.45075,2.3435
1838,HUNGARY,17,46.710800000000006,8.172666666666666,2.4490833333333337
1838,NORWAY,14,29.19275,-1.559583333333333,2.575083333333334
1838,POLAND,433,42.00845,5.56025,2.3781666666666665
1838,SPAIN,7,56.1017,13.389833333333335,2.279333333333333
1838,UNITED KINGDOM,20691,44.912000000000006,7.173333333333333,2.426916666666667
1838,UNITED STATES,1373,45.58759999999999,7.548666666666667,2.2747500000000005
1839,AUSTRIA,289,43.00130000000001,6.111833333333332,1.7718333333333334
1839,BELGIUM,1831,48.87725,9.37625,1.7661666666666669
1839,CANADA,1,22.52855000000001,-5.261916666666667,2.272416666666667
1839,FRANCE,3158,54.5453,12.525166666666667,1.9340000000000002
1839,GERMANY,1916,46.3433,7.9685000000000015,1.6470833333333332
1839,HUNGARY,38,49.0682,9.482333333333337,1.8353333333333333
1839,NORWAY,11,30.7118,-0.7156666666666665,2.1665
1839,POLAND,459,44.65940000000001,7.032999999999999,1.6696666666666669
1839,SPAIN,13,55.95755,13.309750000000005,1.8425
1839,SWEDEN,12,34.9913,1.661833333333333,1.9248333333333336
1839,UNITED KINGDOM,21228,46.15460000000001,7.863666666666667,1.8161666666666665
1839,UNITED STATES,1506,47.3399,8.522166666666665,1.7673333333333332
1840,AUSTRIA,319,40.8854,4.936333333333333,1.9294166666666668
