year,country,co2,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1840,HUNGARY,37.0,46.87145,8.261916667,1.905333333
1840,NORWAY,12.0,31.51805,-0.26775,2.078583333
1840,POLAND,537.0,42.78005,5.988916667,1.810083333
1840,SPAIN,10.0,55.73255,13.18475,2.100416667
1840,SWEDEN,11.0,35.30705,1.83725,1.894916667
1840,UNITED KINGDOM,22096.0,46.16075,7.867083333,1.852166667
1841,AUSTRIA,360.0,44.16905,6.760583333,1.586166667
1841,BELGIUM,2017.0,49.2425,9.579166667,1.652833333
1841,CANADA,1.0,21.713,-5.715,2.238333333
1841,GERMANY,2606.0,47.07065,8.372583333,1.526916667
1841,HUNGARY,39.0,50.49665,10.27591667,1.65975
1841,NORWAY,16.0,31.3658,-0.352333333,1.96425
1841,POLAND,584.0,46.07915,7.82175,1.522333333
1841,SPAIN,28.0,56.0864,13.38133333,1.867416667
1841,SWEDEN,11.0,35.7077,2.059833333,1.717833333
1841,UNITED KINGDOM,22336.0,46.4402,8.022333333,1.678666667
1842,AUSTRIA,398.0,41.9438,5.524333333,1.496083333
1842,BELGIUM,2096.0,48.51215,9.173416667,1.577333333
1842,CANADA,1.0,22.26395,-5.408916667,1.969833333
1842,GERMANY,2970.0,46.06775,7.815416667,1.529333333
1842,HUNGARY,23.0,48.02555,8.903083333,1.63725
1842,NORWAY,20.0,33.04955,0.583083333,1.903333333
1842,POLAND,623.0,44.14595,6.74775,1.5025
1842,SPAIN,39.0,56.0672,13.37066667,1.708333333
1842,SWEDEN,22.0,37.17605,2.875583333,1.661666667
1842,UNITED KINGDOM,23300.0,47.42945,8.571916667,1.61875
1843,AUSTRIA,346.0,43.21865,6.232583333,1.45475
1843,BELGIUM,1941.0,49.0877,9.493166667,1.377666667
1843,CANADA,1.0,21.00605,-6.10775,1.992333333
1843,DENMARK,37.0,-1.3927,-18.5515,2.877666667
1843,GERMANY,2811.0,46.89965,8.277583333,1.335666667
1843,HUNGARY,24.0,49.66985,9.816583333,1.528583333
1843,NORWAY,17.0,31.7807,-0.121833333,1.8235
1843,POLAND,613.0,46.0871,7.826166667,1.392583333
1843,SPAIN,47.0,56.39225,13.55125,1.611666667
1843,SWEDEN,16.0,36.20735,2.337416667,1.468583333
1843,UNITED KINGDOM,24316.0,47.0888,8.382666667,1.55775
1844,AUSTRIA,435.0,42.0308,5.572666667,1.157583333
1844,BELGIUM,2129.0,47.51165,8.617583333,1.220583333
1844,CANADA,1.0,20.7398,-6.255666667,2.0595
1844,DENMARK,43.0,-1.6267,-18.6815,2.92025
1844,GERMANY,2970.0,44.9957,7.219833333,1.158916667
1844,HUNGARY,51.0,48.04175,8.912083333,1.26625
1844,NORWAY,18.0,30.3281,-0.928833333,1.643833333
1844,POLAND,653.0,43.25405,6.25225,1.182916667
1844,SPAIN,55.0,56.0732,13.374,1.430833333
1844,SWEDEN,27.0,33.99305,1.10725,1.311416667
1844,UNITED KINGDOM,25511.0,46.3496,7.972,1.332666667
1845,AUSTRIA,491.0,42.03485,5.574916667,1.430666667
1845,BELGIUM,2243.0,46.9253,8.291833333,1.47425
1845,CANADA,1.0,21.3971,-5.8905,2.2985
1845,DENMARK,57.0,-1.3606,-18.53366667,2.871083333
1845,GERMANY,3442.0,44.8199,7.122166667,1.453583333
1845,HUNGARY,24.0,48.6494,9.249666667,1.545083333
1845,NORWAY,27.0,31.13255,-0.481916667,1.742083333
1845,POLAND,762.0,43.94675,6.637083333,1.50325
1845,SPAIN,75.0,55.41965,13.01091667,1.40375
1845,SWEDEN,24.0,34.96115,1.645083333,1.478333333
1845,UNITED KINGDOM,27289.0,45.90635,7.72575,1.56675
1846,AUSTRIA,577.0,45.0884,7.271333333,1.695416667
1846,BELGIUM,2447.0,50.87435,10.48575,1.641583333
1846,CANADA,7.0,23.81345,-4.548083333,2.737083333
1846,DENMARK,62.0,-0.0424,-17.80133333,2.846583333
1846,GERMANY,3599.0,48.50015,9.16675,1.61075
1846,HUNGARY,17.0,51.2459,10.69216667,1.65725
1846,NETHERLANDS,783.0,51.0695,10.59416667,1.664916667
1846,NORWAY,27.0,33.2912,0.717333333,2.000333333
1846,POLAND,805.0,46.8782,8.265666667,1.60175
1846,SPAIN,77.0,57.2096,14.00533333,1.734
1846,SWEDEN,22.0,37.364,2.98,1.83425
1846,UNITED KINGDOM,26117.0,48.97745,9.431916667,1.644833333
1847,AUSTRIA,568.0,41.81615,5.453416667,1.725583333
1847,BELGIUM,2543.0,48.122,8.956666667,1.74625
1847,CANADA,9.0,21.6956,-5.724666667,2.593583333
1847,DENMARK,47.0,-0.6199,-18.12216667,3.211166667
1847,GERMANY,3777.0,45.4634,7.479666667,1.68925
1847,HUNGARY,45.0,47.9834,8.879666667,1.768583333
1847,NETHERLANDS,1056.0,48.1895,8.994166667,1.78775
1847,NORWAY,28.0,32.2409,0.133833333,2.090083333
1847,POLAND,825.0,44.07215,6.70675,1.674916667
1847,SPAIN,71.0,56.20085,13.44491667,1.580833333
1847,SWEDEN,22.0,36.18815,2.32675,1.849833333
1847,UNITED KINGDOM,28261.0,47.0966,8.387,1.773833333
1848,AUSTRIA,637.0,43.24655,6.248083333,1.499083333
1848,BELGIUM,2261.0,49.1138,9.507666667,1.46175
1848,CANADA,11.0,21.32285,-5.93175,2.200583333
1848,DENMARK,85.0,-2.0974,-18.943,2.8915
1848,GERMANY,3501.0,46.59335,8.107416667,1.39925
1848,HUNGARY,0.0,50.0117,10.0065,1.583166667
1848,NETHERLANDS,996.0,49.05545,9.47525,1.52225
1848,NORWAY,36.0,31.1666,-0.463,1.72075
1848,POLAND,831.0,45.8219,7.678833333,1.413166667
1848,SPAIN,80.0,55.61675,13.12041667,1.496666667
1848,SWEDEN,38.0,35.58245,1.99025,1.506416667
1848,UNITED KINGDOM,29827.0,47.0729,8.373833333,1.504833333
1849,AUSTRIA,617.0,42.30455,5.72475,1.2635
1849,BELGIUM,2384.0,48.6608,9.256,1.234916667
1849,CANADA,13.0,21.07475,-6.069583333,2.2915
1849,DENMARK,74.0,-1.4209,-18.56716667,2.859833333
1849,GERMANY,3718.0,45.6164,7.564666667,1.23325
1849,HUNGARY,0.0,48.28055,9.04475,1.336583333
1849,NETHERLANDS,909.0,48.425,9.125,1.3455
1849,NORWAY,29.0,30.8573,-0.634833333,1.538333333
1849,POLAND,820.0,43.72085,6.511583333,1.2825
1849,SPAIN,89.0,56.2331,13.46283333,1.459083333
1849,SWEDEN,53.0,34.796,1.553333333,1.305
1849,UNITED KINGDOM,31661.0,47.01455,8.341416667,1.395083333
1850,AUSTRIA,635.0,41.966,5.536666667,1.465666667
1850,BELGIUM,2547.0,47.80055,8.778083333,1.32775
1850,CANADA,16.0,22.03475,-5.53625,2.261166667
1850,DENMARK,93.0,-1.561,-18.645,2.922916667
1850,GERMANY,4132.0,45.34835,7.41575,1.346416667
1850,HUNGARY,0.0,48.5468,9.192666667,1.496416667
1850,IRELAND,108.0,48.8507,9.3615,1.426333333
1850,NETHERLANDS,856.0,47.8835,8.824166667,1.371666667
1850,NORWAY,38.0,30.98405,-0.564416667,1.7155
1850,POLAND,874.0,44.5334,6.963,1.480166667
1850,SPAIN,135.0,56.3501,13.52783333,1.469166667
1850,SWEDEN,55.0,35.18765,1.770916667,1.44
1850,UNITED KINGDOM,33462.0,46.80485,8.224916667,1.439666667
1851,AUSTRIA,637.0,41.70425,5.39125,1.620666667
1851,BELGIUM,2775.0,48.0935,8.940833333,1.477416667
1851,CANADA,19.0,22.39175,-5.337916667,2.18825
1851,DENMARK,85.0,-0.66805,-18.14891667,2.945833333
1851,GERMANY,4604.0,45.6407,7.578166667,1.428416667
1851,HUNGARY,75.0,49.18475,9.547083333,1.61725
1851,NETHERLANDS,851.0,48.27305,9.040583333,1.42525
1851,NORWAY,41.0,32.3354,0.186333333,1.693833333
1851,POLAND,944.0,45.4139,7.452166667,1.46975
1851,SPAIN,139.0,55.85555,13.25308333,1.639
1851,SWEDEN,59.0,36.54005,2.52225,1.443666667
1851,UNITED KINGDOM,31838.0,47.0006,8.333666667,1.5055
1852,AUSTRALIA,-15.0,68.3393,20.1885,1.529166667
1852,AUSTRIA,767.0,43.7036,6.502,1.330333333
1852,BELGIUM,3114.0,50.1527,10.08483333,1.452166667
1852,CANADA,23.0,22.3556,-5.358,2.292583333
1852,DENMARK,91.0,-0.9808,-18.32266667,2.9325
1852,GERMANY,5233.0,47.75105,8.750583333,1.33625
1852,HUNGARY,94.0,49.8341,9.907833333,1.509916667
1852,NETHERLANDS,1027.0,50.04845,10.02691667,1.439916667
1852,NORWAY,41.0,32.0945,0.0525,1.711
1852,POLAND,1127.0,45.97745,7.76525,1.41825
1852,SPAIN,146.0,57.12065,13.95591667,1.422
1852,SWEDEN,59.0,36.17555,2.31975,1.434333333
1852,UNITED KINGDOM,31725.0,48.155,8.975,1.398666667
1853,AUSTRALIA,-30.0,69.72485,20.95825,1.459666667
